# Simulation 1 (Up to date)
# 874 data points written for 4 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
148.702,228.556,-6.298,6.299
148.878,227.463,-6.127,6.128
149.178,225.644,-6.006,6.007
149.678,222.642,-5.999,5.999
150.062,220.342,-5.997,5.999
150.562,217.342,-6.005,6.005
151.062,214.34,-6.004,6.004
151.562,211.339,-5.999,5.999
152.062,208.338,-6.003,6.003
152.562,205.338,-5.998,5.998
153.062,202.338,-6.002,6.002
153.562,199.338,-5.998,5.998
154.062,196.339,-5.999,5.999
154.562,193.34,-5.997,5.997
155.062,190.341,-5.997,5.997
155.562,187.343,-5.996,5.996
156.062,184.346,-5.995,5.995
156.562,181.348,-5.995,5.995
157.062,178.355,-5.977,5.978
157.544,175.467,-6.001,6.001
158.044,172.47,-5.987,5.987
158.544,169.479,-5.976,5.977
159.044,166.486,-5.999,5.999
159.544,163.49,-5.983,5.983
160.044,160.496,-5.993,5.993
160.544,157.502,-5.985,5.985
161.044,154.509,-5.989,5.989
161.544,151.519,-5.971,5.972
162.044,148.528,-5.993,5.993
162.544,145.535,-5.979,5.979
163.044,142.543,-5.986,5.986
163.544,139.552,-5.979,5.98
164.044,136.562,-5.982,5.982
164.544,133.571,-5.979,5.979
165.044,130.582,-5.977,5.978
165.544,127.593,-5.978,5.978
166.044,124.604,-5.978,5.978
166.544,121.616,-5.977,5.977
167.044,118.627,-5.976,5.976
167.544,115.639,-5.976,5.976
168.044,112.652,-5.975,5.975
168.544,109.664,-5.974,5.974
169.044,106.678,-5.97,5.97
169.544,103.692,-5.974,5.974
170.044,100.706,-5.97,5.97
170.544,97.721,-5.971,5.971
171.044,94.737,-5.966,5.966
171.544,91.753,-5.97,5.97
172.044,88.769,-5.967,5.967
172.544,85.786,-5.964,5.964
173.044,82.803,-5.969,5.969
173.544,79.82,-5.963,5.963
174.044,76.838,-5.964,5.964
174.544,73.856,-5.964,5.964
175.044,70.876,-5.956,5.956
175.516,68.061,-5.96,5.961
176.016,65.081,-5.961,5.961
176.516,62.101,-5.958,5.958
177.016,59.122,-5.961,5.961
177.516,56.142,-5.958,5.958
178.016,53.163,-5.956,5.956
178.516,50.185,-5.959,5.959
179.016,47.206,-5.955,5.955
179.516,44.232,-5.941,5.942
179.997,41.369,-5.962,5.962
180.497,38.392,-5.947,5.947
180.997,35.415,-5.958,5.958
181.497,32.439,-5.949,5.949
181.997,29.463,-5.954,5.954
182.497,26.487,-5.949,5.949
182.997,23.514,-5.944,5.945
183.497,20.54,-5.953,5.953
183.997,17.566,-5.944,5.944
184.497,14.592,-5.95,5.95
184.997,11.619,-5.944,5.944
185.497,8.646,-5.948,5.948
185.997,5.675,-5.936,5.937
186.497,2.703,-5.95,5.95
# Event GROUND_HIT occurred at t=186.952 seconds
# Event SIMULATION_END occurred at t=186.952 seconds
186.952,0,-5.94,5.94
